GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLONG,INTPTLAT
01966,18106523,4167724,6.991,1.609,-70.620242,42.640741
01969,45304086,4366203,17.492,1.686,-70.891222,42.720877
01970,21002235,14198461,8.109,5.482,-70.870859,42.524435
01982,36737604,1888109,14.184,0.729,-70.85723,42.626223
01983,30880674,2324542,11.923,0.898,-70.94344,42.641379
01984,19841456,1246967,7.661,0.481,-70.883406,42.600595
01985,34838123,3299757,13.451,1.274,-70.964411,42.799516
02019,47523223,1424298,18.349,0.55,-71.47449,42.076682
02021,48682844,2114286,18.797,0.816,-71.125385,42.175737
02025,25353993,2759142,9.789,1.065,-70.814436,42.236423
02026,26532271,1037912,10.244,0.401,-71.179462,42.246872
02030,39156781,816021,15.119,0.315,-71.288033,42.235239
02032,6059763,155224,2.34,0.06,-71.216187,42.156882
02035,51406167,2593185,19.848,1.001,-71.245802,42.061338
02038,68961360,1038205,26.626,0.401,-71.410571,42.084858
02043,57360231,2272722,22.147,0.878,-70.88127,42.216098
02045,6884305,14237684,2.658,5.497,-70.923919,42.292253
02047,619346,21837,0.239,0.008,-70.68586,42.133734
02048,52040205,851508,20.093,0.329,-71.2173,42.0173
02050,75312115,10899419,29.078,4.208,-70.710331,42.115139
02052,37301542,605144,14.402,0.234,-71.305307,42.184599
02053,29895562,335626,11.543,0.13,-71.432781,42.155816
02054,31135982,602483,12.022,0.233,-71.362811,42.172551
02056,38510383,1290280,14.869,0.498,-71.32936,42.116245
02061,54233819,816474,20.94,0.315,-70.818844,42.164569
02062,26828047,419990,10.358,0.162,-71.195955,42.18736
02066,43831891,5690167,16.924,2.197,-70.758184,42.202273
02067,58720809,2471504,22.672,0.954,-71.181771,42.107782
02071,2513156,33452,0.97,0.013,-71.273589,42.103425
02072,41680231,969279,16.093,0.374,-71.10365,42.119006
02081,46419365,1417966,17.923,0.547,-71.270378,42.146227
02090,28215944,740388,10.894,0.286,-71.216769,42.219645
02093,56218838,2344453,21.706,0.905,-71.356858,42.052671
02108,354836,0,0.137,0,-71.064848,42.357767
02109,449654,292691,0.174,0.113,-71.050633,42.367223
02110,479769,234496,0.185,0.091,-71.047846,42.361962
02111,669967,56933,0.259,0.022,-71.059062,42.350518
02113,260829,0,0.101,0,-71.055236,42.365335
02114,1164209,303495,0.45,0.117,-71.068646,42.363175
02115,1834246,103612,0.708,0.04,-71.104176,42.336342
